TopRatingID,id,host_id,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,amenities,price,availability_365,number_of_reviews,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month,bedrooms
1,16437795,47992825,f,2,f,Arcadia,34.14948289,-118.0225039,House,Entire home/apt,"{TV,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",""Family/kid friendly"",Washer,""Smoke detector"",Essentials,Hangers,""Hair dryer""}",$200.00 ,364,1,6,10,4,flexible,0.31,3
2,16003481,25041593,f,4,f,Pico-Union,34.05230419,-118.2882909,Apartment,Entire home/apt,"{Internet,""Wireless Internet"",""Air conditioning"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance""}",$95.00 ,304,1,2,2,2,strict,0.48,1
3,11169799,58121903,f,2,f,Playa del Rey,33.95762285,-118.4505511,House,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",$400.00 ,365,1,2,6,2,strict,0.09,3
4,7575345,39717528,f,1,f,Beverly Grove,34.07241332,-118.3874914,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Elevator in building"",Heating,""Family/kid friendly"",""Smoke detector"",Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace""}",$114.00 ,0,3,,,,moderate,0.21,1
5,6677410,458192,f,2,t,Beverly Grove,34.07221982,-118.3894656,Condominium,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Elevator in building"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo}",$248.00 ,365,1,2,8,2,flexible,0.05,1
6,15519348,17334619,f,7,t,Beverly Hills,34.06088169,-118.3944622,Apartment,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}",$92.00 ,365,1,8,10,2,strict,1,1
7,12453890,64226294,f,17,t,Beverly Hills,34.08589046,-118.4214185,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Breakfast,""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$150.00 ,365,2,2,2,2,flexible,0.16,1
8,8370744,44118463,f,1,f,Culver City,33.99775153,-118.4244249,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",Pool,Kitchen,Washer,Dryer,""Smoke detector"",Essentials}",$80.00 ,0,1,,,,moderate,0.05,0
9,16051979,104517065,f,1,f,Downtown,34.06084755,-118.2449535,Apartment,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$70.00 ,89,1,6,6,6,flexible,0.24,1
10,10991165,10351937,f,1,t,Downtown,34.04450023,-118.2521347,Loft,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,Doorman,Gym,""Pets live on this property"",Dog(s),""Elevator in building"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}",$76.00 ,335,1,2,2,2,strict,1,1
11,14711793,91534056,f,1,f,Hollywood,34.09174748,-118.3157681,Apartment,Shared room,"{TV,Kitchen,""Elevator in building"",Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",""Hair dryer"",""translation missing: en.hosting_amenity_50""}",$25.00 ,0,5,2,10,2,flexible,0.6,1
12,13849313,31630345,f,1,f,Diamond Bar,34.02692472,-117.8053239,House,Shared room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,Iron}",$70.00 ,89,1,,,,flexible,0.15,1
13,9374155,48482206,f,2,t,Diamond Bar,33.98643565,-117.8365821,House,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Hot tub"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",$60.00 ,364,1,4,6,2,flexible,0.25,1
14,14220831,86396817,f,3,f,East Hollywood,34.08507685,-118.3039366,Apartment,Private room,"{TV,Internet,Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron}",$59.00 ,365,1,6,2,2,strict,0.11,1
15,14200668,86151999,f,1,f,Fairfax,34.08173298,-118.34836,House,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Breakfast,""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$200.00 ,365,2,4,8,2,flexible,0.22,2
16,18305674,122774929,f,17,f,Exposition Park,34.01686079,-118.2961974,House,Shared room,"{""Wireless Internet"",Kitchen,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad}",$19.00 ,81,1,4,2,2,strict,1,1
17,11273055,2682536,f,22,t,Exposition Park,34.02009152,-118.3139478,House,Shared room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""First aid kit"",Essentials}",$25.00 ,365,1,2,2,2,flexible,0.64,1
